date,currency_code,rate
2002-01-11,CHF,2.4447
2002-01-11,SEK,0.3948
2002-01-11,HUF,0.014744
2002-01-11,GBP,5.8461
2002-01-11,ITL,0.001867
2002-01-11,EUR,3.6152
2002-01-11,XDR,5.104
2002-01-14,AUD,2.0761
2002-01-14,ATS,0.2604
2002-01-14,BEF,0.08884
2002-01-14,CZK,0.1109
2002-01-14,DKK,0.4822
2002-01-14,EEK,0.229
2002-01-14,FIM,0.6028
2002-01-14,FRF,0.5463
2002-01-14,GRD,0.010517
2002-01-14,ESP,0.021539
2002-01-14,NLG,1.6263
2002-01-14,IEP,4.5505
2002-01-14,JPY,0.030473
2002-01-14,CAD,2.5127
2002-01-14,LUF,0.08884
2002-01-14,NOK,0.451
2002-01-14,PTE,0.017876
2002-01-14,EUR,3.5838
2002-01-14,USD,4.0116
2002-01-14,CHF,2.4241
2002-01-14,SEK,0.3889
2002-01-14,HUF,0.014694
2002-01-14,GBP,5.8136
2002-01-14,ITL,0.001851
2002-01-14,EUR,3.5838
2002-01-14,XDR,5.0548
2002-01-15,AUD,2.0962
2002-01-15,ATS,0.2615
2002-01-15,BEF,0.089197
2002-01-15,CZK,0.1112
2002-01-15,DKK,0.4841
2002-01-15,EEK,0.2299
2002-01-15,FIM,0.6052
2002-01-15,FRF,0.5485
2002-01-15,GRD,0.01056
2002-01-15,ESP,0.021626
2002-01-15,NLG,1.6328
2002-01-15,IEP,4.5688
2002-01-15,JPY,0.030763
2002-01-15,CAD,2.5347
2002-01-15,LUF,0.089197
2002-01-15,NOK,0.4527
2002-01-15,PTE,0.017948
2002-01-15,EUR,3.5982
2002-01-15,USD,4.0351
2002-01-15,CHF,2.4321
2002-01-15,SEK,0.3892
2002-01-15,HUF,0.014744
2002-01-15,GBP,5.837
2002-01-15,ITL,0.001858
2002-01-15,EUR,3.5982
2002-01-15,XDR,5.0766
2002-01-16,AUD,2.1018
2002-01-16,ATS,0.2616
2002-01-16,BEF,0.089237
2002-01-16,CZK,0.112
2002-01-16,DKK,0.4844
2002-01-16,EEK,0.2301
2002-01-16,FIM,0.6054
2002-01-16,FRF,0.5488
2002-01-16,GRD,0.010564
2002-01-16,ESP,0.021635
2002-01-16,NLG,1.6335
2002-01-16,IEP,4.5708
2002-01-16,JPY,0.031085
2002-01-16,CAD,2.5703
2002-01-16,LUF,0.089237
2002-01-16,NOK,0.4548
2002-01-16,PTE,0.017956
2002-01-16,EUR,3.5998
2002-01-16,USD,4.0851
2002-01-16,CHF,2.448
2002-01-16,SEK,0.3916
2002-01-16,HUF,0.014771
2002-01-16,GBP,5.8662
2002-01-16,ITL,0.001859
2002-01-16,EUR,3.5998
2002-01-16,XDR,5.0817
2002-01-17,AUD,2.1188
2002-01-17,ATS,0.2639
2002-01-17,BEF,0.090005
2002-01-17,CZK,0.1124
2002-01-17,DKK,0.4887
2002-01-17,EEK,0.2321
2002-01-17,FIM,0.6107
2002-01-17,FRF,0.5535
2002-01-17,GRD,0.010655
2002-01-17,ESP,0.021822
2002-01-17,NLG,1.6476
2002-01-17,IEP,4.6102
2002-01-17,JPY,0.031209
2002-01-17,CAD,2.5628
2002-01-17,LUF,0.090005
2002-01-17,NOK,0.4602
2002-01-17,PTE,0.01811
2002-01-17,EUR,3.6308
2002-01-17,USD,4.1256
2002-01-17,CHF,2.4769
2002-01-17,SEK,0.3929
2002-01-17,HUF,0.014923
2002-01-17,GBP,5.9052
2002-01-17,ITL,0.001875
2002-01-17,EUR,3.6308
2002-01-17,XDR,5.1623
2002-01-18,AUD,2.1596
2002-01-18,ATS,0.268
2002-01-18,BEF,0.091423
2002-01-18,CZK,0.1161
2002-01-18,DKK,0.4964
2002-01-18,EEK,0.2357
2002-01-18,FIM,0.6203
2002-01-18,FRF,0.5622
2002-01-18,GRD,0.010823
2002-01-18,ESP,0.022165
2002-01-18,NLG,1.6735
2002-01-18,IEP,4.6828
2002-01-18,JPY,0.031536
2002-01-18,CAD,2.5937
2002-01-18,LUF,0.091423
2002-01-18,NOK,0.4662
2002-01-18,PTE,0.018396
2002-01-18,EUR,3.688
2002-01-18,USD,4.188
2002-01-18,CHF,2.5095
2002-01-18,SEK,0.3982
2002-01-18,HUF,0.015133
2002-01-18,GBP,6.007
2002-01-18,ITL,0.001905
2002-01-18,EUR,3.688
2002-01-18,XDR,5.2381
2002-01-21,AUD,2.1404
2002-01-21,ATS,0.2662
2002-01-21,BEF,0.090798
2002-01-21,CZK,0.1153
2002-01-21,DKK,0.4929
2002-01-21,EEK,0.2342
2002-01-21,FIM,0.616
2002-01-21,FRF,0.5584
2002-01-21,GRD,0.010749
2002-01-21,ESP,0.022014
2002-01-21,NLG,1.6621
